publication_date,report_date,country,province,health_zone,confirmed_cases,probable_cases,confirmed_deaths,total_cases,total_deaths,total_suspected_cases,new_deaths,new_cured,total_cured,new_suspected_cases,old_suspected_cases,confirmed_cases_change,probable_cases_change,total_cases_change,confirmed_deaths_change,total_deaths_change,total_suspected_cases_change,source
2019-08-08,2019-08-07,COD,North Kivu,Alimbongo,5,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°354
2019-08-08,2019-08-07,COD,North Kivu,Beni,606,9,383,NA,NA,NA,NA,NA,NA,NA,NA,3,0,NA,1,NA,NA,WHO RAPPORT DE SITUATION N°354
2019-08-08,2019-08-07,COD,North Kivu,Biena,16,1,12,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°354
2019-08-08,2019-08-07,COD,North Kivu,Butembo,265,1,311,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,NA,WHO RAPPORT DE SITUATION N°354
2019-08-08,2019-08-07,COD,North Kivu,Goma,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°354
2019-08-08,2019-08-07,COD,North Kivu,Kalunguta,135,14,57,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°354
2019-08-08,2019-08-07,COD,North Kivu,Katwa,627,16,435,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°354
2019-08-08,2019-08-07,COD,#N/A,Kayna,9,0,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°354
2019-08-08,2019-08-07,COD,North Kivu,Kyondo,20,2,13,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°354
2019-08-08,2019-08-07,COD,#N/A,Lolwa,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WHO RAPPORT DE SITUATION N°354
2019-08-08,2019-08-07,COD,North Kivu,Lubero,31,2,4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°354
2019-08-08,2019-08-07,COD,North Kivu,Mabalako,365,16,265,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°354
2019-08-08,2019-08-07,COD,North Kivu,Mangurujipa,18,0,12,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°354
2019-08-08,2019-08-07,COD,North Kivu,Masereka,49,6,16,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°354
2019-08-08,2019-08-07,COD,North Kivu,Musienene,74,1,30,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°354
2019-08-08,2019-08-07,COD,North Kivu,Mutwanga,17,0,8,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°354
2019-08-08,2019-08-07,COD,North Kivu,Nyiragongo,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°354
2019-08-08,2019-08-07,COD,North Kivu,Oicha,51,0,24,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°354
2019-08-08,2019-08-07,COD,North Kivu,Vuhovi,101,13,35,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°354
2019-08-08,2019-08-07,COD,Ituri,Ariwara,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°354
2019-08-08,2019-08-07,COD,Ituri,Bunia,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°354
2019-08-08,2019-08-07,COD,Ituri,Komanda,36,9,18,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,WHO RAPPORT DE SITUATION N°354
