province,health_zone,pop
Sankuru,Wembo Nyama,86933
Sankuru,Kole,90428
Sankuru,Pania Mutombo,75536
Sankuru,Minga,164596
Sankuru,Lusambo,93220
Sankuru,Dikungu,145449
Sankuru,Vanga Kete,127500
Sankuru,Lodja,189953
Sankuru,Omendjadi,134386
Sankuru,Djalo Djeka,82588
Sankuru,Katako Kombe,138538
Sankuru,Bena Dibele,88437
Lomami,Kamiji,98868
Kasaï-Oriental,Tshitenge,242936
Kasaï-Oriental,Miabi,153662
Lomami,Ngandajika,317135
Lomami,Mulumba,292626
Kasaï-Oriental,Tshilenge,312177
Kasaï-Oriental,Cilundu,191598
Lomami,Lubao,210304
Lomami,Kalonda Est,230909
Lomami,Kabinda,280250
Lomami,Ludimbi Lukula,155414
Lomami,Kalambayi Kabanga,159486
Lomami,Makota,239015
Lomami,Mwene Ditu,430700
Lomami,Wikong,120879
Lomami,Luputa,295107
Lomami,Kanda Kanda,237492
Kasaï-Oriental,Bonzola,211862
Kasaï-Oriental,Dibindi,279888
Kasaï-Oriental,Kansele,267447
Kasaï-Oriental,Muya,366827
Kasaï-Oriental,Diulu,391935
Kasaï-Oriental,Bipemba,377834
Kasaï-Oriental,Mpokolo,321312
Kasaï-Oriental,Nzaba,311526
Kasaï-Oriental,Kabeya Kamuanga,190050
Kasaï-Oriental,Mukumbi,124662
Kasaï-Oriental,Lukelenge,287611
Kasaï-Oriental,Tshishimbi,201193
Kasaï-Oriental,Lubilanji,275215
Lomami,Kamana,193055
Kasaï-Oriental,Kasansa,217132
Kasaï-Oriental,Bibanga,157645
Lomami,Kalenda,202304
Lomami,Tshofa,137009
Mongala,Pimu,245737
Kasaï,Nyanga,125851
Kasaï,Kalonda Ouest,414522
Kasaï,Kamonia,327156
Kasaï,Mutena,232408
Kasaï,Banga Lubaka,158486
Kasaï,Kamwesha,385158
Kasaï,Mweka,205308
Tanganyika,Moba,320963
Sud-Ubangi,Bogosenubia,143364
Kongo-Central,Moanda,142261
Kongo-Central,Kitona,98593
Kongo-Central,Boma,161290
Kongo-Central,Boma Bungu,81135
Kongo-Central,Seke-Banza,149451
Kongo-Central,Inga,82083
Kongo-Central,Lukula,203230
Kongo-Central,Tshela,90394
Kongo-Central,Vaku,75707
Kongo-Central,Kizu,65685
Kongo-Central,Kibunzi,68396
Kongo-Central,Luozi,90112
Kongo-Central,Kimpangu,129863
Kongo-Central,Ngidinga,124927
Kongo-Central,Boko-Kivulu,153725
Kongo-Central,Mbanza-Ngungu,112635
Kongo-Central,Kwilu-Ngongo,156753
Kongo-Central,Kisantu,183484
Kasaï,Mikope,189546
Maï-Ndombe,Oshwe,146794
Maï-Ndombe,Bosobe,126881
Maï-Ndombe,Bokoro,218247
Kwilu,Masi-Manimba,163071
Kwilu,Yasa-Bonga,209178
Kwilu,Idiofa,274518
Kwilu,Ipamu,191921
Kwilu,Koshibanda,178876
Kwilu,Kingandu,102107
Kwilu,Bulungu,266703
Kwilu,Bagata,165990
Kwilu,Bandundu,185722
Kwango,Kajiji,148107
Kwilu,Kikwit-Nord,209496
Kwilu,Lusanga,228827
Kwango,Feshi,143791
Kwango,Wamba Lwadi,110006
Kwango,Panzi,168814
